geneName	LogFC	pvalue
MUC5B	-1.3043285070434283	9.660390329390795e-36
GRAK	0.9873630387635289	1.6791853879504076e-5
SORT	-1.008741133835754	5.230042138572997e-55
WBP2	1.0920864292705377	1.526583831828174e-8
IMPA3	-0.8490320469039695	1.799645955771099e-12
ILK1	-1.1822273352014736	2.319117165006238e-9
DUOX2	-1.0454539907931293	1.3051135301463243e-99
CHIA	-1.5498955653530788	3.498551959544144e-5
S13A4	2.9781007798195716	6.017156702447473e-43
GALT3	-0.8573172372038804	8.014996246978896e-15
PTPRD	1.4958318191017541	3.4797465215139556e-14
VGFR2	1.543812570615253	1.595050463209643e-6
A33	-1.1496067655210316	2.646171164078599e-22
K1324	-0.8433500981797009	3.118671616579368e-31
CATL1	2.418358881863002	7.262683577847323e-4
FR1L6	-1.5711634658842908	4.711079649470139e-31
LRC4B	1.6894987916275206	4.456554269619518e-18
GFRA1	0.7800460694841872	7.023018335707709e-11
TRIL	0.789186193524197	9.762125132921146e-5
HBA	0.7537705552454649	1.8978752102817874e-9
LYL1	1.3651556495418258	1.2851190362701522e-4
RN213	-1.013044878208781	2.831720331934123e-4
GTR2	-1.0529300325157995	3.316889027881996e-14
MACC1	-0.790976536976114	7.058929861382664e-11
PP14C	0.9662873942803575	5.736268747951623e-13
SAM9L	-1.1334151235429353	3.111521199861562e-29
LAMC3	0.7801507535682068	1.068045720398921e-13
SVIL	0.8730411424311677	5.864154738804492e-8
UPAR	-1.8467519730357562	1.2369609293204394e-6
DHX58	-1.0834591689642399	1.4776909152940759e-6
CAVN4	2.4504493649103463	2.3428887584639238e-4
OTX5	-2.4476630834917317	4.67484319216098e-7
DSG2	-0.8750497629699999	3.881760893073283e-5
SNF5	0.7533575230305074	8.919455822723362e-15
UROL1	-2.1478853850956066	6.706371849022126e-18
DMBT1	1.7026298966668416	9.802731123874484e-23
PLPP3	1.1586511901423278	3.129416272153842e-6
LECA	-0.83389581947773606	2.470870147575653e-28
LECA	2.8830494925712804	7.185592564324875e-15
ABCA1	1.7261611785399373	1.4834950156322042e-20
CERS2	-2.2922706122219596	7.4455034069288e-7
PITC1	-1.161618239056999	2.7493164730627947e-11
MLRS	5.1182825343913265	1.8813782530013564e-8
FGFR1	0.972287035440861	5.418307979758312e-55
VILI	-0.796948106523963	1.4543116224113008e-52
NICN1	1.1614075562319388	2.9420511166893895e-8
ACTA	1.186671891176983	2.183842210315349e-6
PRVA	5.362896296121132	6.659619031169806e-8
A33	-0.9042795455053841	8.217813739286674e-6
EYA4	1.5696397964547872	2.6261151900939724e-40
CYYR1	3.689683096306559	5.180482456633726e-24
EFNA3	1.559445228670888	4.133593814590924e-5
DAF2	-1.5983629706127793	1.2457545666870985e-17
TM38A	1.3261090181824218	1.6049074192773803e-10
PEG3	-1.3999756798608485	1.8323513321753692e-35
TM145	0.8895558062142831	6.746714119963341e-6
TNNI2	5.105667249588845	4.051856704116297e-6
STYK1	-1.5961445596213788	4.873690866729362e-35
SPIR2	-1.5804323768158708	3.0432150076808683e-10
PINLY	-0.9065558507472735	6.505946806439944e-51
ISL1	1.9997094492926417	3.2888177936902497e-9
AGRE1	0.8540877108435851	6.52729282346282e-5
FBLN3	0.7909090316452101	3.866136281328882e-6
CRUM3	-1.028768904082929	1.368450967251932e-6
I22R1	-1.0233341611527451	8.310498892641065e-42
KCNA2	2.522637426254746	1.919817832856881e-5
CSAD	-0.8568423100045093	1.4145256959802733e-13
GPR54	1.3737128518324577	1.592518085831804e-4
RT07	0.8646097164849864	1.5023980298629573e-17
SPG16	1.092342943914155	3.7555468190278446e-4
G6PT2	-1.40101887344113	1.0232755021096474e-5
CANX	1.1294679592201784	1.1925256197294496e-4
RYR1	2.0065306065447723	2.41455802148856e-16
RYR3	2.3905440447585775	1.3506680569897269e-6
LORF2	-2.265602520514543	7.673517625475371e-15
TEX9	1.1384174886261846	7.353451346672844e-6
GOLM1	-0.7629858380569527	4.735149256936255e-24
PKHB2	-0.8022998644633255	2.4705915066009347e-22
GALA	0.9104525414153035	1.7624542304085647e-4
MUC19	-1.4491125275124126	2.9876524822207335e-8
TM125	-1.0370161611615092	4.165790324623471e-25
GCNT3	-1.7972514763121044	4.992748978978957e-7
TYRO3	-0.9077180005197679	1.2039135048096925e-9
DHI1L	-1.2602007170180587	6.84064310820543e-4
ERO1B	-0.8560520073262582	1.63846730136932e-33
LAMP5	1.4771074460856164	3.2560236182082415e-4
GLT17	-1.0126441351502797	1.4250596313959903e-17
PTPRB	1.1922747876317137	1.9642913394318554e-8
FCGBP	-0.9859757494765949	1.1863676405020233e-195
ABCAD	-0.7609005456370324	6.664123224414439e-6
FXI1C	4.1830799683840985	6.977153809681489e-7
S6A14	-0.7828684503347682	2.374908050242102e-25
UROM	-0.9482733342454935	8.658179618224796e-30
PKHH1	1.4131798380881977	7.02256499525862e-4
HXK2	-1.2152960353857822	3.3260082545615475e-29
AS3MT	1.1409869778321557	1.854919148966086e-5
SOX9	0.8401433258467436	2.3930495650601657e-22
SOX10	0.8326450223787475	2.062413520855958e-6
DCK	2.0026234132996947	1.4132395836049676e-4
ABCA3	-0.9582549057396569	8.748087871028869e-5
CAHM5	1.6882905592919895	1.8436295231196416e-14
AGRF3	-2.0912587354717775	7.100364072886772e-14
PSIP1	0.8326564688890632	1.3977525429233957e-17
LX15B	0.8692976224300446	4.9017963713335385e-111
CRYM	1.0190994690189796	3.1090378307226384e-4
CADH2	0.9541420052947377	7.46897018754938e-28
SPTB2	0.8828515833487245	2.845204702515727e-7
