geneName,log2FoldChange,padj,RNEA_geneName,sig,centralNode,DE,TF,filteredNetwork,geneNameShort,filteredNetwork_nosep
IGF2,0.9465304793106274,1.9232221086615194e-4,IGF2,TRUE,FALSE,upregulated,FALSE,TRUE,IGF2,TRUE
IGK,0.9521127077010637,3.6996406302176895e-6,IGK,TRUE,FALSE,upregulated,FALSE,FALSE,IGK,FALSE
IHH,1.770452139381309,4.0376622881198824e-11,IHH,TRUE,FALSE,upregulated,FALSE,TRUE,IHH,TRUE
IL1B,0.8322782779783006,0.09268424474257878,IL1B,FALSE,FALSE,RNEA_addition,FALSE,TRUE,IL1B,FALSE
IL8.2,1.6351520813009952,6.995648961296118e-10,IL8,TRUE,FALSE,upregulated,FALSE,TRUE,IL8,TRUE
IL8.3,-1.026481587723665,1.1701525432547972e-9,IL8,TRUE,FALSE,downregulated,FALSE,TRUE,IL8,TRUE
INHBA,1.8241195927916145,3.574694956702873e-17,INHBA,TRUE,FALSE,upregulated,FALSE,FALSE,INHBA,FALSE
INHBB,1.2920456312393378,2.905933562120262e-20,INHBB,TRUE,FALSE,upregulated,FALSE,FALSE,INHBB,FALSE
IRF1,-0.8818323747135236,8.811065063888643e-49,IRF1,TRUE,FALSE,downregulated,FALSE,TRUE,IRF1,FALSE
ISL1,1.9997094492926417,3.2888177936902497e-9,ISL1,TRUE,FALSE,upregulated,FALSE,TRUE,ISL1,TRUE
JUN,-0.04379228319030071,0.9831953410537934,JUN,FALSE,FALSE,RNEA_addition,TRUE,TRUE,JUN,TRUE
KANK1,1.2911021029307008,8.914560640038033e-8,KANK1,TRUE,FALSE,upregulated,FALSE,FALSE,KANK1,FALSE
KCNN3,1.1684182910289242,2.51095872505138e-4,KCNN3,TRUE,FALSE,upregulated,FALSE,TRUE,KCNN3,FALSE
KLF3,-1.4571985311694062,5.1251190815592425e-18,KLF3,TRUE,FALSE,downregulated,FALSE,FALSE,KLF3,FALSE
KLF4.1,-0.8706768831284688,1.802515358679632e-48,KLF4,TRUE,FALSE,downregulated,FALSE,TRUE,KLF4,TRUE
KLF7,-0.7871257439255842,6.669691111847804e-4,KLF7,TRUE,FALSE,downregulated,FALSE,FALSE,KLF7,FALSE
LAMA1,1.2574916726937158,5.582028228283019e-8,LAMA1,TRUE,FALSE,upregulated,FALSE,FALSE,LAMA1,FALSE
LAMB1,1.678140503660667,1.9746888343499135e-4,LAMB1,TRUE,FALSE,upregulated,FALSE,FALSE,LAMB1,FALSE
LAMB1.1,1.0458698308865904,3.3529532374909024e-19,LAMB1,TRUE,FALSE,upregulated,FALSE,FALSE,LAMB1,FALSE
LBX1,2.465791695323286,1.4673952552562234e-6,LBX1,TRUE,FALSE,upregulated,FALSE,FALSE,LBX1,FALSE
