"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0002701",0.000272705800234515,8.72088835534214,0.981924577373212,6,18,"negative regulation of production of molecular mediator of immune response",0.000530868312324966
"GO:0070723",0.000272705800234515,8.72088835534214,0.981924577373212,6,18,"response to cholesterol",0.000530868312324966
"GO:0003180",0.000274028795392276,12.4477560808496,0.654616384915475,5,12,"aortic valve morphogenesis",0.000530868312324966
"GO:0003177",0.000274028795392276,12.4477560808496,0.654616384915475,5,12,"pulmonary valve development",0.000530868312324966
"GO:0001759",0.000274028795392276,12.4477560808496,0.654616384915475,5,12,"organ induction",0.000530868312324966
"GO:0060438",0.000274028795392276,12.4477560808496,0.654616384915475,5,12,"trachea development",0.000530868312324966
"GO:0000165",0.000274368422005086,1.75703377223333,31.5852405721717,52,579,"MAPK cascade",0.000530868312324966
"GO:0048592",0.000277477975578462,2.54882387657027,9.0555266579974,21,166,"eye morphogenesis",0.000535759361651495
"GO:0009948",0.000283467667421795,6.78826121794872,1.36378413524057,7,25,"anterior/posterior axis specification",0.000545039084959234
"GO:0060443",0.000283467667421795,6.78826121794872,1.36378413524057,7,25,"mammary gland morphogenesis",0.000545039084959234
"GO:0030517",0.000310072194254951,4.37303980699638,2.72756827048114,10,50,"negative regulation of axon extension",0.000594554637260085
"GO:0060425",0.000310873440183289,5.58979542719615,1.80019505851756,8,33,"lung morphogenesis",0.000594554637260085
"GO:0097435",0.000311156715699632,1.69311659272702,36.4948634590377,58,669,"supramolecular fiber organization",0.000594554637260085
"GO:0050772",0.000349790449206909,3.22982456140351,4.90962288686606,14,90,"positive regulation of axonogenesis",0.000666199007794536
"GO:0048844",0.000350098067071179,3.92911367445529,3.27308192457737,11,60,"artery morphogenesis",0.000666199007794536
"GO:0007431",0.000358665269399726,4.7671412924425,2.29115734720416,9,42,"salivary gland development",0.00067991294020179
"GO:0007266",0.000358781421213974,2.28323000343726,11.8921976592978,25,218,"Rho protein signal transduction",0.00067991294020179
"GO:0060795",0.00038028422389116,8.04949672176563,1.03647594278283,6,19,"cell fate commitment involved in formation of primary germ layer",0.000713323360903786
"GO:0060713",0.00038028422389116,8.04949672176563,1.03647594278283,6,19,"labyrinthine layer morphogenesis",0.000713323360903786
"GO:0010092",0.00038028422389116,8.04949672176563,1.03647594278283,6,19,"specification of animal organ identity",0.000713323360903786
"GO:0035115",0.00038028422389116,8.04949672176563,1.03647594278283,6,19,"embryonic forelimb morphogenesis",0.000713323360903786
"GO:0036314",0.00038028422389116,8.04949672176563,1.03647594278283,6,19,"response to sterol",0.000713323360903786
"GO:0071526",0.000387304664743949,5.37443302786263,1.85474642392718,8,34,"semaphorin-plexin signaling pathway",0.00072062140652359
"GO:1903670",0.000387304664743949,5.37443302786263,1.85474642392718,8,34,"regulation of sprouting angiogenesis",0.00072062140652359
"GO:0030574",0.000387304664743949,5.37443302786263,1.85474642392718,8,34,"collagen catabolic process",0.00072062140652359
"GO:0006026",0.000387304664743949,5.37443302786263,1.85474642392718,8,34,"aminoglycan catabolic process",0.00072062140652359
"GO:0001756",0.000406412616058347,3.85026570048309,3.327633289987,11,61,"somitogenesis",0.000754649232640601
"GO:0035282",0.000412669475008208,3.34975430850306,4.41866059817945,13,81,"segmentation",0.000764725526121851
