Gene,Cluster,Assigned Tissue
M4A15,9,BHTB
PR3CB,9,BHTB
TNF13,9,BHTB
FGL2,9,BHTB
CNFN.1,9,BHTB
ITB1B,9,BHTB
ITB1.1,9,BHTB
LIPO,9,BHTB
RAB19,10,BHTB
DRB4,10,BHTB
E2AK2,10,BHTB
TGM2.4,10,BHTB
DYR.1,10,BHTB
LORF2.78,10,BHTB
GBRL2,10,BHTB
WBP2,10,BHTB
TTC38,10,BHTB
TNIK,10,BHTB
MUC2,10,BHTB
MUC19,10,BHTB
RASF6,10,BHTB
AOFA.1,10,BHTB
PERE.1,10,BHTB
PSA6.1,10,BHTB
NAKD2,10,BHTB
ZN214.81,10,BHTB
AGFG1,10,BHTB
CP2J6,10,BHTB
FUCL5.1,10,BHTB
FGL1L.1,10,BHTB
STK38,10,BHTB
NLRX1,10,BHTB
TXB1B,10,BHTB
A33.20,10,BHTB
S40A1.2,10,BHTB
CKLF,10,BHTB
PDC10,10,BHTB
RASL2,10,BHTB
SCRB2.1,10,BHTB
PSB9,10,BHTB
SYTL2.1,10,BHTB
STXB5,10,BHTB
UBE2N.1,10,BHTB
PPCT,10,BHTB
PSB8,10,BHTB
A33.40,10,BHTB
MAGI3,10,BHTB
HISAT.1,10,BHTB
AKAP9.2,10,BHTB
NSD2,10,BHTB
TRI29,10,BHTB
TAB3,10,BHTB
FGD3,10,BHTB
MUC5B,10,BHTB
DHI2,10,BHTB
SAM9L.2,10,BHTB
DHX58,10,BHTB
OAT,10,BHTB
DI3L2,10,BHTB
A33.15,10,BHTB
TOIP2.1,10,BHTB
TPSNR,10,BHTB
PKHB2,10,BHTB
DTX3,10,BHTB
HMR1.7,10,BHTB
GSTA4,10,BHTB
ARRD3,10,BHTB
SOD6,10,BHTB
AL9A1,10,BHTB
SKP1,10,BHTB
CCD91,10,BHTB
SLAF7,10,BHTB
ABCB6,10,BHTB
IL3RB,10,BHTB
CPLX2,10,BHTB
CAD26,10,BHTB
IFI6,10,BHTB
APEH,10,BHTB
